BET-COET,1,1,1,L,Program Logic and Formulation Lab
BET-COET,1,2,1,L,Object Oriented Programming 2 Lab
BET-COET,2,1,1, ,Logic Circuits and Switching Theory Lec
BET-COET,2,1,2,L,Logic Circuits and Switching Theory Lab
BET-COET,2,1,3, ,Data and Digital Communications
BET-COET,2,1,4,L,Data Structures and Algorithms Lab
BET-COET,2,1,5, ,Introduction to Hardware Description Language
BET-COET,2,2,1,L,Operation System
BET-COET,2,2,2, ,Fundamentals of Mixed Signals and Sensors
BET-COET,2,2,3, ,Software Design Lec
BET-COET,2,2,4,L,Software Design Lec
BET-COET,2,2,5, ,Computer Architecture and Organization Lec
BET-COET,2,2,6,L,Computer Architecture and Organization Lab
BET-COET,3,1,1, ,Microprocessor and Micro-controller System Lec
BET-COET,3,1,2,L,Microprocessor and Micro-controller System Lab
BET-COET,3,1,3,L,Web App Programming
BET-COET,3,1,4,L,CpET Laws & Professional Practice
BET-COET,3,2,1, ,Technical Research
BET-COET,3,2,2, ,Intellectual Property
BET-COET,3,2,3, ,Computer Network Design Lec
BET-COET,3,2,4,L,Computer Network Design Lab
BET-COET,3,2,5,L,Mobile Application Programming Lab
BET-COET,3,2,6, ,Automation
BET-COET,4,1,1, ,Emerging Technology
BET-COET,4,1,2, ,Embedded System Lec
BET-COET,4,1,3,L,Embedded System Lab
BET-COET,4,1,4,L,Network Security Lab
BET-COET,4,1,5, ,Elective 2
DIT,1,1,1, ,Orientation to BET,Seminars and Field Trips
DIT,1,1,1, ,Electrical Circuits Lec
DIT,1,1,1, ,Electrical Circuits Lab
DIT,1,2,1, ,Computer Aided Drafting/Engineering Graphics
DIT,1,2,2, ,Electronics 1 Lec
DIT,1,2,3,L,Electronics 1 Lab
DIT,3,1,1, ,Basic Occupational Safety and Health
DIT,3,1,2, ,Technopreneurship
DIT,3,1,3, ,Engineering Economy
DIT,3,2,1, ,Engineering Data Analysis
DIT,4,1,1, ,Project Development
DIT,4,1,2,L,Project Development Lab
DIT,4,1,3, ,Engineering Management
